time_id,impl_id,n_cells,factor,n_threads,runtime
time_apply,sparse_band_matrix,64000000,400,1,1.061533303931355
time_routine,sparse_band_matrix,64000000,400,1,3.640459284652025
time_apply,sparse_csr_matrix,64000000,400,1,1.688785105012357
time_routine,sparse_csr_matrix,64000000,400,1,10.42235668702051
time_apply,linear_stencil,68921000,410,1,0.9691642839461565
time_routine,linear_stencil,68921000,410,1,1.292863944079727
time_apply,sparse_band_matrix,68921000,410,1,1.122489736881107
time_routine,sparse_band_matrix,68921000,410,1,3.935434659011662
time_apply,sparse_csr_matrix,68921000,410,1,1.813324850983918
time_routine,sparse_csr_matrix,68921000,410,1,11.18949969811365
time_apply,linear_stencil,74088000,420,1,1.050856684800237
time_routine,linear_stencil,74088000,420,1,1.280872403178364
time_apply,sparse_band_matrix,74088000,420,1,1.214212565682828
time_routine,sparse_band_matrix,74088000,420,1,4.241197243332863
time_apply,sparse_csr_matrix,74088000,420,1,1.965227613225579
time_routine,sparse_csr_matrix,74088000,420,1,12.02315774606541
time_apply,linear_stencil,79507000,430,1,1.12979913270101
time_routine,linear_stencil,79507000,430,1,1.464873091783375
time_apply,sparse_band_matrix,79507000,430,1,1.302212851122022
time_routine,sparse_band_matrix,79507000,430,1,4.580205384641886
time_apply,sparse_csr_matrix,79507000,430,1,2.094869093969464
time_routine,sparse_csr_matrix,79507000,430,1,13.01238057669252
time_apply,linear_stencil,85184000,440,1,1.203421286307275
time_routine,linear_stencil,85184000,440,1,1.518604668322951
time_apply,sparse_band_matrix,85184000,440,1,1.400298476219177
time_routine,sparse_band_matrix,85184000,440,1,4.860536485910416
time_apply,sparse_csr_matrix,85184000,440,1,2.246908305212855
time_routine,sparse_csr_matrix,85184000,440,1,13.95548554882407
time_apply,linear_stencil,91125000,450,1,1.294796856120229
time_routine,linear_stencil,91125000,450,1,1.625415389891714
time_apply,sparse_band_matrix,91125000,450,1,1.503660175018013
time_routine,sparse_band_matrix,91125000,450,1,5.223434309009463
time_apply,sparse_csr_matrix,91125000,450,1,2.43918716115877
time_routine,sparse_csr_matrix,91125000,450,1,14.79080023895949
time_apply,linear_stencil,97336000,460,1,1.380351698026061
time_routine,linear_stencil,97336000,460,1,1.754674991127104
time_apply,sparse_band_matrix,97336000,460,1,1.592370891012251
time_routine,sparse_band_matrix,97336000,460,1,5.533417565748096
time_apply,sparse_csr_matrix,97336000,460,1,2.559487424790859
time_routine,sparse_csr_matrix,97336000,460,1,15.91994866216555
time_apply,linear_stencil,103823000,470,1,1.503160964231938
time_routine,linear_stencil,103823000,470,1,1.88412528205663
time_apply,sparse_band_matrix,103823000,470,1,1.701473915949464
time_routine,sparse_band_matrix,103823000,470,1,5.895004076883197
time_apply,sparse_csr_matrix,103823000,470,1,2.772066137287766
time_routine,sparse_csr_matrix,103823000,470,1,17.13303209701553
time_apply,linear_stencil,110592000,480,1,1.568592661060393
time_routine,linear_stencil,110592000,480,1,1.969822095707059
time_apply,sparse_band_matrix,110592000,480,1,1.947476356755942
time_routine,sparse_band_matrix,110592000,480,1,6.480557062197477
time_apply,sparse_csr_matrix,110592000,480,1,2.906139082740992
time_routine,sparse_csr_matrix,110592000,480,1,18.03806470613927
time_apply,linear_stencil,117649000,490,1,1.654220624826849
time_routine,linear_stencil,117649000,490,1,2.104054622817785
time_apply,sparse_band_matrix,117649000,490,1,1.970847107004374
time_routine,sparse_band_matrix,117649000,490,1,6.776195265818387
time_apply,sparse_csr_matrix,117649000,490,1,3.09086493216455
time_routine,sparse_csr_matrix,117649000,490,1,19.15852437121794
time_apply,linear_stencil,125000000,500,1,1.76734015205875
time_routine,linear_stencil,125000000,500,1,2.315496883820742
time_apply,sparse_band_matrix,125000000,500,1,2.068230670876801
time_routine,sparse_band_matrix,125000000,500,1,7.17208164697513
time_apply,sparse_csr_matrix,125000000,500,1,3.308007239364088
time_routine,sparse_csr_matrix,125000000,500,1,20.15980171272531
time_apply,linear_stencil,132651000,510,1,1.880823139101267
time_routine,linear_stencil,132651000,510,1,2.343879758846015
time_apply,sparse_band_matrix,132651000,510,1,2.477937334217131
time_routine,sparse_band_matrix,132651000,510,1,7.890016346238554
time_apply,sparse_csr_matrix,132651000,510,1,3.547420464921743
time_routine,sparse_csr_matrix,132651000,510,1,21.64952485589311
time_apply,linear_stencil,140608000,520,1,2.006188608240336
time_routine,linear_stencil,140608000,520,1,2.494556879159063
time_apply,sparse_band_matrix,140608000,520,1,2.352669735904783
time_routine,sparse_band_matrix,140608000,520,1,8.197936950717121
time_apply,sparse_csr_matrix,140608000,520,1,3.788573382887989
time_routine,sparse_csr_matrix,140608000,520,1,22.94933261582628
time_apply,linear_stencil,148877000,530,1,2.113020230084658
time_routine,linear_stencil,148877000,530,1,2.658451149240136
time_apply,sparse_band_matrix,148877000,530,1,2.44797573890537
time_routine,sparse_band_matrix,148877000,530,1,8.638244800269604
time_apply,sparse_csr_matrix,148877000,530,1,3.961943991947919
time_routine,sparse_csr_matrix,148877000,530,1,24.39429094083607
time_apply,linear_stencil,157464000,540,1,2.220294871833175
time_routine,linear_stencil,157464000,540,1,2.771310636773705
time_apply,sparse_band_matrix,157464000,540,1,2.594138264190406
time_routine,sparse_band_matrix,157464000,540,1,9.112798808608204
time_apply,sparse_csr_matrix,157464000,540,1,4.172203573398292
time_routine,sparse_csr_matrix,157464000,540,1,26.20923527376726
time_apply,linear_stencil,166375000,550,1,2.334819070994854
time_routine,linear_stencil,166375000,550,1,2.927422341890633
time_apply,sparse_band_matrix,166375000,550,1,2.748532716650516
time_routine,sparse_band_matrix,166375000,550,1,9.649905781261623
time_apply,sparse_csr_matrix,166375000,550,1,4.376850160304457
time_routine,sparse_csr_matrix,166375000,550,1,27.65810070186853
time_apply,linear_stencil,175616000,560,1,2.485617840662599
time_routine,linear_stencil,175616000,560,1,3.117892134934664
time_apply,sparse_band_matrix,175616000,560,1,2.869937330950052
time_routine,sparse_band_matrix,175616000,560,1,10.01532558584586
time_apply,sparse_csr_matrix,175616000,560,1,4.653832377865911
time_routine,sparse_csr_matrix,175616000,560,1,29.41472677513957
time_apply,linear_stencil,185193000,570,1,2.629522954113781
time_routine,linear_stencil,185193000,570,1,3.302761095110327
time_apply,sparse_band_matrix,185193000,570,1,3.033068682067096
time_routine,sparse_band_matrix,185193000,570,1,10.63331262813881
