node_id,bench_id,impl_id,region_id,obj_cols,obj_rows,obj_levels,obj_cells,threads,l2d_load_bandwidth,l2d_load_data_volume,l2_bandwidth,l2_data_volume,l3_access_bandwidth,l3_access_data_volumen,l3_access_rate,l3_miss_rate,l3_miss_ratio,memory_bandwidth,memory_data_volume
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,1,15056.7798,651.7773,15056.7798,651.7773,16243.7648,509.3713,38.6762,28.4189,73.4790,29576.7682,926.0022
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,1,7064.3681,1341.0920,7064.3681,1341.0920,12459.3787,2318.4985,13.2939,8.2562,62.1053,30462.6337,5793.7187
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,2,33851.7385,577.6472,33851.7385,577.6472,21380.2969,403.7400,30.6585,25.4806,41.5555,24775.6897,496.7907
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,2,12120.0163,1312.2739,12120.0163,1312.2739,15605.7460,1700.8182,9.7504,6.7706,34.7197,26508.3424,2849.3580
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,4,41321.6682,640.3663,41321.6682,640.3663,22051.2808,340.8299,25.8760,23.2706,22.4828,17687.1489,284.9157
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,4,15105.9824,1310.3341,15105.9824,1310.3341,15409.8882,1417.7232,8.1219,6.2606,19.2707,22846.3032,1952.8270
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,8,47126.4167,624.8086,47126.4167,624.8086,25752.5751,342.5086,25.9928,23.3096,22.4205,27829.3057,374.6000
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,8,17551.6623,1358.8802,17551.6623,1358.8802,19970.6554,1615.4887,6.9306,4.9551,17.9023,23514.3782,1980.5180
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,16,87177.2341,622.6952,87177.2341,622.6952,47451.5973,332.5085,24.9627,22.8186,22.8597,32302.5138,225.7701
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,16,32714.0621,1826.6106,32714.0621,1826.6106,32404.6378,1926.7377,8.2465,5.7835,17.2692,29615.9160,1735.0728
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,32,176511.9430,639.9698,176511.9430,639.9698,84791.5534,343.0565,25.9694,23.2105,22.3441,54218.2388,217.6332
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,32,32069.5151,1511.5232,32069.5151,1511.5232,55862.1608,2595.5137,12.7277,7.9986,15.7263,34437.5731,1602.1477
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,64,417952.2764,642.9598,417952.2764,642.9598,223217.9553,342.0931,25.8131,23.1494,22.4206,223560.1379,343.0143
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,64,106364.3707,1378.8791,106364.3707,1378.8791,153551.1761,1969.7801,10.7127,7.3736,17.3214,144558.3403,2091.3212
gauss3,e_memory_by_threads,several_coeff_precalc,apply,1600,1600,1600,4096000000,128,521623.1035,822.5689,521623.1035,822.5689,211357.4850,335.4671,20.3446,18.2803,11.2147,211346.5598,334.8611
gauss3,e_memory_by_threads,several_coeff_precalc,overall,1600,1600,1600,4096000000,128,242523.5058,3071.3958,242523.5058,3071.3958,141166.8819,1770.9624,2.6849,1.9360,9.0986,140549.0094,2093.0172
