node_id,bench_id,impl_id,region_id,threads,obj_cols,obj_rows,obj_levels,tiling_cols,tiling_rows,tiling_levels,runtime
gauss3,cache,tiling,routine,16,2050,2050,2050,32,128,128,8.30601
gauss3,cache,tiling,apply,16,2050,2050,2050,64,128,128,4.41326
gauss3,cache,tiling,routine,16,2050,2050,2050,64,128,128,7.38285
gauss3,cache,tiling,apply,16,2050,2050,2050,128,128,128,3.59342
gauss3,cache,tiling,routine,16,2050,2050,2050,128,128,128,6.55096
gauss3,cache,tiling,apply,16,2050,2050,2050,256,128,128,2.49024
gauss3,cache,tiling,routine,16,2050,2050,2050,256,128,128,5.46226
gauss3,cache,tiling,apply,16,2050,2050,2050,512,128,128,2.00742
gauss3,cache,tiling,routine,16,2050,2050,2050,512,128,128,4.97256
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,128,128,1.68445
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,128,128,4.6436
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,128,128,1.33436
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,128,128,4.27021
gauss3,cache,tiling,apply,16,2050,2050,2050,4,256,256,28.878
gauss3,cache,tiling,routine,16,2050,2050,2050,4,256,256,31.7874
gauss3,cache,tiling,apply,16,2050,2050,2050,8,256,256,22.4635
gauss3,cache,tiling,routine,16,2050,2050,2050,8,256,256,25.4462
gauss3,cache,tiling,apply,16,2050,2050,2050,16,256,256,20.7391
gauss3,cache,tiling,routine,16,2050,2050,2050,16,256,256,23.6606
gauss3,cache,tiling,apply,16,2050,2050,2050,32,256,256,17.0528
gauss3,cache,tiling,routine,16,2050,2050,2050,32,256,256,19.8687
gauss3,cache,tiling,apply,16,2050,2050,2050,64,256,256,13.976
gauss3,cache,tiling,routine,16,2050,2050,2050,64,256,256,16.7813
gauss3,cache,tiling,apply,16,2050,2050,2050,128,256,256,11.3185
gauss3,cache,tiling,routine,16,2050,2050,2050,128,256,256,14.1547
gauss3,cache,tiling,apply,16,2050,2050,2050,256,256,256,7.2457
gauss3,cache,tiling,routine,16,2050,2050,2050,256,256,256,10.0341
gauss3,cache,tiling,apply,16,2050,2050,2050,512,256,256,6.16654
gauss3,cache,tiling,routine,16,2050,2050,2050,512,256,256,8.90236
gauss3,cache,tiling,apply,16,2050,2050,2050,1024,256,256,5.84197
gauss3,cache,tiling,routine,16,2050,2050,2050,1024,256,256,8.57856
gauss3,cache,tiling,apply,16,2050,2050,2050,2048,256,256,5.43261
gauss3,cache,tiling,routine,16,2050,2050,2050,2048,256,256,8.26679
gauss3,cache,tiling,apply,16,2050,2050,2050,4,512,512,57.6876
gauss3,cache,tiling,routine,16,2050,2050,2050,4,512,512,60.4688
