time_id,impl_id,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
time_apply,linear_stencil_tiling,16,32,64200070000,53708820000,14116090000,52248910000,21755150000,3988277000,22.8547,27.3192,2809.0319,3.7014,21755150000,1.5412,3988277000,0.2825,0.1833
time_apply,linear_stencil_tiling,16,64,50806340000,42595510000,13614870000,38903030000,17211810000,2008233000,18.1248,21.6205,2802.8904,2.8574,17211810000,1.2642,2008233000,0.1475,0.1167
time_apply,linear_stencil_tiling,16,128,45858300000,37604180000,13364260000,34014740000,16127700000,1495592000,16.0016,19.5146,2865.7689,2.5452,16127700000,1.2068,1495592000,0.1119,0.0927
time_apply,linear_stencil_tiling,16,256,42465140000,35627960000,13238950000,30696410000,15672940000,1194680000,15.1603,18.0719,2800.7223,2.3186,15672940000,1.1839,1194680000,0.0902,0.0762
time_apply,linear_stencil_tiling,16,512,41947470000,35142440000,13176300000,30172590000,15583740000,1080547000,14.9540,17.8500,2805.0526,2.2899,15583740000,1.1827,1080547000,0.0820,0.0693
time_apply,linear_stencil_tiling,16,1024,37051020000,31110240000,13144970000,25283090000,15163930000,685507000,13.2371,15.7664,2798.7457,1.9234,15163930000,1.1536,685507000,0.0521,0.0452
time_apply,linear_stencil_tiling,16,2048,36420990000,30567100000,13129310000,24682340000,15084790000,635027500,13.0067,15.4984,2800.0365,1.8799,15084790000,1.1489,635027500,0.0484,0.0421
time_apply,linear_stencil_tiling,16,4096,36653060000,30772860000,13121480000,24897830000,15111360000,645015600,13.0946,15.5979,2798.8913,1.8975,15111360000,1.1517,645015600,0.0492,0.0427
time_apply,linear_stencil_tiling,16,8192,36729350000,29284680000,13117560000,24935880000,15123330000,661756400,12.4614,15.6296,2947.4006,1.9010,15123330000,1.1529,661756400,0.0504,0.0438
time_apply,linear_stencil_tiling,16,16384,37785520000,31850150000,13115600000,26128160000,15176860000,707888900,13.5531,16.0794,2787.8460,1.9921,15176860000,1.1572,707888900,0.0540,0.0466
time_apply,linear_stencil_tiling,16,32768,37711800000,31783410000,13114620000,26064960000,15116970000,697033300,13.5240,16.0476,2788.3266,1.9875,15116970000,1.1527,697033300,0.0531,0.0461
time_apply,linear_stencil_tiling,16,65536,37670130000,31684530000,13114130000,26008480000,15109460000,692514700,13.4821,16.0299,2793.9326,1.9832,15109460000,1.1522,692514700,0.0528,0.0458
time_apply,linear_stencil_tiling,32,4,143706400000,113563900000,20873150000,131488900000,43879010000,15812530000,48.3248,61.1518,2973.7401,6.2994,43879010000,2.1022,15812530000,0.7576,0.3604
time_apply,linear_stencil_tiling,32,8,192823100000,159923300000,16993450000,181564200000,72042180000,22948800000,68.0549,82.0568,2833.2954,10.6844,72042180000,4.2394,22948800000,1.3504,0.3185
time_apply,linear_stencil_tiling,32,16,109250200000,90317710000,15053540000,99333520000,42694280000,11322240000,38.4856,46.4896,2842.6021,6.5987,42694280000,2.8362,11322240000,0.7521,0.2652
time_apply,linear_stencil_tiling,32,32,86055070000,68647590000,14083600000,73943830000,19705430000,3215219000,29.2138,36.6194,2945.8885,5.2504,19705430000,1.3992,3215219000,0.2283,0.1632
time_apply,linear_stencil_tiling,32,64,69990120000,55900090000,13598620000,58045200000,17364070000,2126192000,23.7872,29.7832,2942.3222,4.2685,17364070000,1.2769,2126192000,0.1564,0.1224
time_apply,linear_stencil_tiling,32,128,59748540000,47938840000,13356130000,47775100000,16402670000,1578988000,20.3993,25.4252,2928.8840,3.5770,16402670000,1.2281,1578988000,0.1182,0.0963
time_apply,linear_stencil_tiling,32,256,49108480000,39461010000,13234890000,37195090000,15844460000,1249621000,16.7918,20.8977,2924.4612,2.8104,15844460000,1.1972,1249621000,0.0944,0.0789
time_apply,linear_stencil_tiling,32,512,46397150000,37087940000,13174270000,34511900000,15752530000,1153202000,15.7819,19.7447,2939.6786,2.6196,15752530000,1.1957,1153202000,0.0875,0.0732
time_apply,linear_stencil_tiling,32,1024,35940750000,29702900000,13143950000,25605160000,14978390000,510611700,12.6541,15.2940,2843.5163,1.9481,14978390000,1.1396,510611700,0.0388,0.0341
time_apply,linear_stencil_tiling,32,2048,34239520000,28342970000,13128800000,23931740000,14935360000,463553200,12.0809,14.5700,2838.8956,1.8228,14935360000,1.1376,463553200,0.0353,0.0310
time_apply,linear_stencil_tiling,32,4096,33219690000,26785870000,13121220000,22904580000,14909500000,404505900,11.4020,14.1373,2914.2022,1.7456,14909500000,1.1363,404505900,0.0308,0.0271
time_apply,linear_stencil_tiling,32,8192,37407390000,29138920000,13117430000,25238680000,15102620000,653237500,12.4045,15.9181,3016.8244,1.9241,15102620000,1.1513,653237500,0.0498,0.0433
time_apply,linear_stencil_tiling,32,16384,38068140000,30476430000,13115540000,26424710000,15133610000,685363000,12.9685,16.2000,2935.2374,2.0148,15133610000,1.1539,685363000,0.0523,0.0453
time_apply,linear_stencil_tiling,32,32768,37603270000,30193070000,13114590000,26089650000,15070670000,667229900,12.8471,16.0014,2926.7436,1.9894,15070670000,1.1492,667229900,0.0509,0.0443
time_apply,linear_stencil_tiling,32,65536,34419600000,28199530000,13114110000,24358750000,14927570000,567761300,11.9993,14.6478,2868.1169,1.8574,14927570000,1.1383,567761300,0.0433,0.0380
time_apply,linear_stencil_tiling,64,4,148392900000,117177600000,20749420000,136196400000,51422960000,17833360000,49.8616,63.1465,2975.9958,6.5639,51422960000,2.4783,17833360000,0.8595,0.3468
