node_id,impl_id,region_id,obj_levels_rows,obj_cols,n_tiling_levels_rows,n_tiling_cols,actual_cpu_clock,max_cpu_clock,retired_instructions,cpu_clocks_unhalted,data_cache_accesses,data_cache_refills_all,runtime,runtime_unhalted,clock,cpi,data_cache_requests,data_cache_request_rate,data_cache_misses,data_cache_miss_rate,data_cache_miss_ratio
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,4,313137100000,248988600000,41434120000,275355300000,89669020000,34094480000,105.9513,133.2500,2955.4420,6.6456,89669020000,2.1641,34094480000,0.8229,0.3802
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,8,308402900000,244151900000,33674650000,269503100000,90257780000,29452920000,103.8934,131.2421,2968.2705,8.0031,90257780000,2.6803,29452920000,0.8746,0.3263
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,16,193897800000,153922800000,29794880000,158462500000,61110350000,15965350000,65.4978,82.5158,2960.0948,5.3184,61110350000,2.0510,15965350000,0.5358,0.2613
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,32,145547900000,118083100000,27854990000,110402700000,40916940000,7789605000,50.2480,61.9354,2896.5790,3.9635,40916940000,1.4689,7789605000,0.2796,0.1904
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,64,138894500000,112947400000,26885050000,103742100000,33360980000,4108364000,48.0624,59.1047,2889.8247,3.8587,33360980000,1.2409,4108364000,0.1528,0.1231
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,128,126587800000,101749400000,26400080000,92091140000,32350150000,3193630000,43.2961,53.8674,2923.6532,3.4883,32350150000,1.2254,3193630000,0.1210,0.0987
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,256,85326700000,69904670000,26157580000,54782270000,29738270000,1381973000,29.7456,36.3120,2868.2299,2.0943,29738270000,1.1369,1381973000,0.0528,0.0465
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,512,72783800000,58797050000,26036340000,44664900000,29425720000,1027172000,25.0361,30.9721,2908.9992,1.7155,29425720000,1.1302,1027172000,0.0395,0.0349
gauss3,linear_stencil_tiling,time_apply,2050,2050,32,1024,63497690000,53235570000,25975720000,36249450000,29181890000,791020600,22.6932,27.0204,2802.9925,1.3955,29181890000,1.1234,791020600,0.0305,0.0271
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,4,271589100000,223796700000,41186590000,241023300000,115643600000,41355420000,95.3459,115.5713,2851.8138,5.8520,115643600000,2.8078,41355420000,1.0041,0.3576
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,8,409620400000,336262500000,33550920000,376663100000,146506400000,48506250000,143.3526,174.3068,2862.6643,11.2266,146506400000,4.3667,48506250000,1.4458,0.3311
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,16,221748900000,182832400000,29732970000,191445500000,80499710000,23074190000,77.8667,94.3628,2850.1572,6.4388,80499710000,2.7074,23074190000,0.7760,0.2866
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,32,126940200000,104416500000,27824000000,97592810000,40287330000,6370233000,44.4645,54.0173,2856.9100,3.5075,40287330000,1.4479,6370233000,0.2289,0.1581
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,64,121417600000,99849060000,26869530000,92212630000,31725590000,3191571000,42.5281,51.6679,2857.5792,3.4319,31725590000,1.1807,3191571000,0.1188,0.1006
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,128,105203500000,85819120000,26392290000,76444640000,30875740000,2231020000,36.5175,44.7675,2880.8029,2.8965,30875740000,1.1699,2231020000,0.0845,0.0723
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,256,87992220000,71749700000,26153670000,59521050000,29819620000,1394348000,30.5442,37.4436,2881.9807,2.2758,29819620000,1.1402,1394348000,0.0533,0.0468
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,512,72726080000,61574050000,26034350000,44855100000,29378430000,1009688000,26.2500,30.9474,2775.6087,1.7229,29378430000,1.1284,1009688000,0.0388,0.0344
gauss3,linear_stencil_tiling,time_apply,2050,2050,64,1024,64749250000,54765890000,25974700000,37095150000,29187970000,787423700,23.3068,27.5530,2778.3757,1.4281,29187970000,1.1237,787423700,0.0303,0.0270
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,4,287082200000,234092200000,41066000000,256446400000,123808500000,43444200000,99.6319,122.1630,2881.9459,6.2447,123808500000,3.0149,43444200000,1.0579,0.3509
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,8,398484700000,320025800000,33490610000,365974700000,138263400000,46202400000,136.1804,169.5685,2926.1273,10.9277,138263400000,4.1284,46202400000,1.3796,0.3342
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,16,195493000000,157967700000,29702790000,165600200000,62392880000,16777420000,67.2515,83.1887,2908.2360,5.5752,62392880000,2.1006,16777420000,0.5648,0.2689
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,32,140657800000,113847100000,27808910000,111856700000,36921630000,5495073000,48.5067,59.8546,2903.4091,4.0223,36921630000,1.3277,5495073000,0.1976,0.1488
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,64,128595300000,106245400000,26861980000,99273610000,31717430000,3234819000,45.2854,54.7246,2844.1810,3.6957,31717430000,1.1808,3234819000,0.1204,0.1020
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,128,102726900000,85092260000,26388500000,74366800000,30834440000,2222767000,36.2415,43.7139,2836.9972,2.8182,30834440000,1.1685,2222767000,0.0842,0.0721
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,256,87931140000,72147830000,26151770000,59230480000,29800720000,1375977000,30.7115,37.4185,2864.0204,2.2649,29800720000,1.1395,1375977000,0.0526,0.0462
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,512,72031270000,58492190000,26033390000,44087100000,29348710000,999277400,24.9173,30.6518,2893.9313,1.6935,29348710000,1.1273,999277400,0.0384,0.0340
gauss3,linear_stencil_tiling,time_apply,2050,2050,128,1024,64639050000,52467490000,25974210000,36622280000,29167040000,772336500,22.3382,27.5061,2895.1487,1.4099,29167040000,1.1229,772336500,0.0297,0.0265
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,4,319084100000,260402900000,41006500000,285905300000,109709300000,39942810000,111.0119,135.7814,2879.5464,6.9722,109709300000,2.6754,39942810000,0.9741,0.3641
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,8,384866300000,315802900000,33460860000,351705600000,116512500000,40806170000,134.4582,163.7731,2863.9205,10.5110,116512500000,3.4821,40806170000,1.2195,0.3502
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,16,194595000000,156822300000,29687960000,163651800000,51279960000,13900180000,66.8334,82.8065,2916.0225,5.5124,51279960000,1.7273,13900180000,0.4682,0.2711
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,32,143544800000,116398100000,27801470000,114366000000,36390100000,5416583000,49.5626,61.0831,2898.0659,4.1137,36390100000,1.3089,5416583000,0.1948,0.1488
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,64,127630200000,104175500000,26858250000,98627650000,31626060000,3202694000,44.3292,54.3124,2879.0017,3.6722,31626060000,1.1775,3202694000,0.1192,0.1013
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,128,104192800000,84800640000,26386640000,75797120000,30830340000,2217595000,36.1338,44.3426,2887.0578,2.8726,30830340000,1.1684,2217595000,0.0840,0.0719
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,256,85251210000,71197830000,26150840000,57543430000,29777030000,1377115000,30.3163,36.2772,2813.8475,2.2004,29777030000,1.1387,1377115000,0.0527,0.0462
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,512,74454520000,61619370000,26032930000,46427820000,29397800000,1027218000,26.2348,31.6846,2839.3321,1.7834,29397800000,1.1293,1027218000,0.0395,0.0349
gauss3,linear_stencil_tiling,time_apply,2050,2050,256,1024,69147840000,57052310000,25973980000,41253900000,29231310000,871124100,24.3108,29.4248,2848.1976,1.5883,29231310000,1.1254,871124100,0.0335,0.0298
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,4,386314400000,307354200000,40977170000,345807600000,80792150000,32900180000,130.7872,164.3893,2953.7182,8.4390,80792150000,1.9716,32900180000,0.8029,0.4072
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,8,326628700000,259555500000,33446050000,288323000000,67721710000,25628870000,110.4520,138.9912,2957.2706,8.6205,67721710000,2.0248,25628870000,0.7663,0.3784
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,16,247079200000,193540900000,29680550000,210604300000,48105640000,13648160000,82.3563,105.1402,3000.0668,7.0957,48105640000,1.6208,13648160000,0.4598,0.2837
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,32,156831500000,128471600000,27798000000,124075800000,36457660000,5548672000,54.6677,66.7370,2868.7521,4.4635,36457660000,1.3115,5548672000,0.1996,0.1522
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,64,124027600000,103704700000,26856410000,95579420000,31589500000,3193924000,44.1764,52.7787,2810.4749,3.5589,31589500000,1.1762,3193924000,0.1189,0.1011
gauss3,linear_stencil_tiling,time_apply,2050,2050,512,128,103070100000,86117910000,26385720000,74901740000,30846510000,2213525000,36.6749,43.8597,2812.5892,2.8387,30846510000,1.1691,2213525000,0.0839,0.0718
